Рецептурный справочник радиолюбителя|Михайлов В. В.
ЖКИ, светоизлучающие и лазерные диоды. Схемы и готовые решения|Франк Зихла
Аппараты магнитной обработки воды. Проектирование, моделирование и исследование|Антонов С. Н.
Микроконтроллеры для начинающих (+CD)|Хофманн М.
Учебная САПР электрической части станций и подстанций|Павлюков В. А.
Основы оптимального и экстремального управления|Олейников В. А.
Радиолокационные устройства (теория и принципы построения)|Васин В. В.
Схемотехника телекоммуникационных устройств|Галочкин В. А.
Схемотехника аналоговых и цифровых устройств|Галочкин В. А.
Проектирование осветительных установок|Вахнина В. В.
Примеры и задачи по статистической радиотехнике|Горянов В. Т.
Основы разработки и программирования робототехнических систем|Сорокин С. В.
Вокруг Земли на радиоволне|Бензарь В. К.
Поверхности и границы раздела полупроводников|Бехштедт Ф.
Ремонт малой бытовой техники|Аппаратура
Измерение параметров цифровых интегральных микросхем|Эйдукас Д. Ю.
Монк Саймон - Практическая электроника. Иллюстрированное руководство для радиолюбителей|Монк Саймон
Саймон Монк - Мейкерство. Arduino и Raspberry Pi. Управление движением, светом и звуком + архив|Саймон Монк
Средства измерений|Шишмарев В. Ю.
Производственная и пожарная автоматика|Храпский С. Ф.
Б.В. Шевкопляс - Элементы схемотехники оптоволоконных систем. Инженерные решения|Б.В. Шевкопляс
Ламповые генераторы|Евтянов С. И.
Модуляторы малых сигналов|Калинчук Б. А.
Микроконтроллер глазами начинающего|Гололобов В. Н.
Импульсные источники питания телевизоров. 3-е издание|Рязанов М. Г.
Проектирование распределительных электрических сетей|Фадеева Г. А.
Гюнтер Валь - Мини-шпионы. Схемотехника|Гюнтер Валь
Андрей Кашкаров - Датчики в электронных схемах: от простого к сложному|Андрей Кашкаров
Узлы и элементы медицинской техники|Кореневский Н.А. Попечителев Е.П.
Андрей Кашкаров - Электронные устройства для глушения беспроводных сигналов (GSM, Wi-Fi, GPS и некоторых радиотелефонов)|Андрей Кашкаров
Энергетическая техника и ее развитие|Веселовский О. Н.
Микропроцессорная техника|Кузин А. В.
Умные устройства безопасности на микроконтроллерах Atmel|Бирюков А. А.
Электромагнитные поля и параметры электрических машин|Инкин А. И.
Андрей Кашкаров - Электронные конструкции за один вечер|Андрей Кашкаров
Бытовая приемно-усилительная радиоаппаратура (модели 1982-1985 гг.)|Алексеев Ю. П.
